min_rtt_ms,avg_rtt_ms,max_rtt_ms,packet_loss_percent,congestion
141.7,141.7,141.7,0.0,1
70.145,70.145,70.145,0.0,1
70.116,70.116,70.116,0.0,0
70.113,70.113,70.113,0.0,0
70.146,70.146,70.146,0.0,1
70.097,70.097,70.097,0.0,0
70.085,70.085,70.085,0.0,0
70.082,70.082,70.082,0.0,0
70.142,70.142,70.142,0.0,1
70.164,70.164,70.164,0.0,1
70.113,70.113,70.113,0.0,0
70.082,70.082,70.082,0.0,0
70.056,70.056,70.056,0.0,0
70.103,70.103,70.103,0.0,0
70.073,70.073,70.073,0.0,0
70.089,70.089,70.089,0.0,0
70.139,70.139,70.139,0.0,1
70.18,70.18,70.18,0.0,1
70.12,70.12,70.12,0.0,0
70.155,70.155,70.155,0.0,1
70.104,70.104,70.104,0.0,0
70.176,70.176,70.176,0.0,1
70.165,70.165,70.165,0.0,1
70.097,70.097,70.097,0.0,0
70.114,70.114,70.114,0.0,0
70.181,70.181,70.181,0.0,1
70.216,70.216,70.216,0.0,1
70.109,70.109,70.109,0.0,0
70.126,70.126,70.126,0.0,1
70.116,70.116,70.116,0.0,0
70.181,70.181,70.181,0.0,1
70.097,70.097,70.097,0.0,0
70.066,70.066,70.066,0.0,0
70.119,70.119,70.119,0.0,0
70.081,70.081,70.081,0.0,0
70.052,70.052,70.052,0.0,0
70.097,70.097,70.097,0.0,0
70.069,70.069,70.069,0.0,0
70.067,70.067,70.067,0.0,0
70.114,70.114,70.114,0.0,0
70.067,70.067,70.067,0.0,0
70.098,70.098,70.098,0.0,0
70.058,70.058,70.058,0.0,0
70.082,70.082,70.082,0.0,0
70.122,70.122,70.122,0.0,0
70.055,70.055,70.055,0.0,0
70.093,70.093,70.093,0.0,0
70.104,70.104,70.104,0.0,0
70.056,70.056,70.056,0.0,0
70.065,70.065,70.065,0.0,0
70.053,70.053,70.053,0.0,0
70.046,70.046,70.046,0.0,0
70.049,70.049,70.049,0.0,0
70.103,70.103,70.103,0.0,0
70.072,70.072,70.072,0.0,0
70.133,70.133,70.133,0.0,1
70.08,70.08,70.08,0.0,0
71.698,71.698,71.698,0.0,1
70.157,70.157,70.157,0.0,1
70.072,70.072,70.072,0.0,0
70.062,70.062,70.062,0.0,0
70.061,70.061,70.061,0.0,0
70.12,70.12,70.12,0.0,0
70.115,70.115,70.115,0.0,0
70.073,70.073,70.073,0.0,0
70.104,70.104,70.104,0.0,0
70.086,70.086,70.086,0.0,0
70.094,70.094,70.094,0.0,0
71.748,71.748,71.748,0.0,1
71.595,71.595,71.595,0.0,1
70.059,70.059,70.059,0.0,0
70.141,70.141,70.141,0.0,1
70.076,70.076,70.076,0.0,0
70.113,70.113,70.113,0.0,0
70.098,70.098,70.098,0.0,0
70.064,70.064,70.064,0.0,0
70.043,70.043,70.043,0.0,0
70.076,70.076,70.076,0.0,0
70.123,70.123,70.123,0.0,0
70.111,70.111,70.111,0.0,0
70.088,70.088,70.088,0.0,0
70.093,70.093,70.093,0.0,0
70.125,70.125,70.125,0.0,0
70.089,70.089,70.089,0.0,0
70.089,70.089,70.089,0.0,0
70.164,70.164,70.164,0.0,1
70.181,70.181,70.181,0.0,1
71.061,71.061,71.061,0.0,1
70.212,70.212,70.212,0.0,1
70.201,70.201,70.201,0.0,1
70.139,70.139,70.139,0.0,1
70.101,70.101,70.101,0.0,0
70.049,70.049,70.049,0.0,0
70.062,70.062,70.062,0.0,0
70.088,70.088,70.088,0.0,0
70.144,70.144,70.144,0.0,1
70.07,70.07,70.07,0.0,0
70.097,70.097,70.097,0.0,0
